player,ranked_ctf_games,ranked_nf_games,casual_games,time_of_day,day_of_week,avg_per_day,grab_on_0d,grab_on_1d,grab_on_2d,grab_on_3d,grab_on_4d,hold_pm,prevent_pm,pup_pct,hold_during_pups,tp_pct,rb_pct,jj_pct,kiss_pct,button_per_minute,block_per_minute,dc_pct
"St. Bernard",61,0,0,...___________.._.o..._.,__O._Oo,7.625,0.501,0.226,0.235,0.035,0.003,8.455,8.656,0.177,0.125,0.243,0.289,0.467,0.090,0.734,9.558,0.000
"Irony",1991,114,0,o.___________..........o,o.o.o..,12.929,,,,,,0.000,0.000,0.146,0.000,0.241,0.356,0.402,,0.000,0.000,0.000
"Light",2185,12,0,ooo.__________.....__...,....o..,9.711,0.450,0.251,0.262,0.034,0.002,9.621,4.060,0.120,0.172,0.284,0.357,0.359,0.066,1.242,12.083,0.034
"StaIin",569,0,0,oo.______________....ooo,..o.o..,8.246,0.413,0.255,0.287,0.044,0.002,7.249,8.522,0.078,0.141,0.329,0.318,0.353,0.063,1.057,11.346,0.025
"Gamepad God",209,0,0,oo._____________.ooo_...,.ooo.o_,5.098,0.473,0.235,0.258,0.032,0.002,10.401,5.526,0.129,0.170,0.259,0.389,0.352,0.055,0.748,11.965,0.019
"Mos Def",822,54,0,o.____________.......ooo,.o...o.,12.646,0.545,0.224,0.210,0.021,0.001,6.223,10.399,0.100,0.115,0.283,0.338,0.379,0.080,1.274,9.472,0.007
"Kei Yonagi",1097,0,0,oo.________________...oO,o....oo,18.283,0.459,0.245,0.266,0.028,0.002,9.710,3.633,0.121,0.166,0.296,0.364,0.340,0.057,1.005,12.218,0.030
"DEAD NAN",1097,0,0,______________.oOooo.___,ooo__oo,15.671,0.537,0.230,0.207,0.025,0.001,11.472,5.683,0.162,0.203,0.295,0.404,0.301,0.073,0.844,10.150,0.005
"Kamikaze",232,0,0,o.______________..__.OOo,o.._o.O,11.600,0.479,0.244,0.246,0.030,0.001,10.624,4.605,0.138,0.179,0.284,0.303,0.412,0.079,0.712,11.125,0.017
"lizzey",1164,0,0,._____________........oo,O___.oO,15.117,0.503,0.247,0.221,0.028,0.001,6.467,8.669,0.130,0.103,0.381,0.303,0.317,0.069,1.335,9.529,0.006
