=== ALL-TIME RANKED TAGPRO TEAM RECORDS ===

## FULL GAME RECORDS (Including Overtime)

### HIGHS

#### Captures
  Match 4136750: Toidi, LogisticMap, Carrrrrl, BallSaget - 23 (Loss)
  Match 4040201: Yo YoYo, metalhead, MOTU, fl33t - 23 (Win)
  Match 4025027: kmichael, TheDr34m, Sir Cle Jerk, sun chips - 23 (Win)

#### Quick Returns
  Match 4141508: SluffAndRuff, meowza, whiff, HammerTime - 38 (Win)
  Match 4142359: Ceremony, megapoop22, Kep, \./ - 34 (Win)
  Match 4141590: Mos Def, SluffAndRuff, trash panda, jmu - 33 (Win)
  Match 4060596: TheG, Toidi, ish, CT Crunch - 32 (Win)
  Match 4142971: SluffAndRuff, mactheroni, kink ball, rai - 30 (Win)
  Match 4137353: TheG, helprefugees, Irony, Doris - 30 (Loss)
  Match 3942971: Ty, Crippy, DudeMcGuy, Marijuana - 30 (Win)
  Match 4143326: meowza, Toidi, may_hem, heribo69 - 30 (Win)
  Match 4052614: okthen, phreak, mex, Taurus - 30 (Win)
  Match 4144396: waterlemon, megapoop22, o o l e r, deku - 30 (Loss)
  Match 4144054: SluffAndRuff, clamp, Sussy Blocka, ><><><><><>< - 29 (Loss)
  Match 4074433: fm, Champagne, Toidi, karma - 29 (Loss)
  Match 4139462: mactheroni, snakes, ASAP, KALX - 29 (Loss)

#### Non-Tag Pops
  Match 4004136: chaiwala, memnite, ANDYKANSAS, gueromoon - 40 (Loss)
  Match 4023751: Damian, bronny james, Taddy Mason, Hairy Nuts - 38 (Loss)
  Match 4040082: megapoop22, Vancouver, TheGovernor, supergremlin - 32 (Win)
  Match 4035445: PuyoPuyo, cw, Spjork, cereballsy - 31 (Loss)
  Match 4049022: Swully, SpiritTagger, metalhead, SoulSauce - 29 (Win)
  Match 4060661: helprefugees, Snekster, ANDYKANSAS, fl33t - 29 (Loss)
  Match 4023134: rizzmaster, Damian, sicky, solongloser - 29 (Loss)
  Match 4103662: FortuneCooki, Barbara Bush, Dayman, KonTiki - 27 (Win)
  Match 4050159: State Champ, FlyingV, MyLittlePony, rizzmaster - 27 (Win)
  Match 4138425: ish, RageQuit, Messy, Korgmonkey - 27 (Win)

#### Hold Differential (seconds)
  Match 4039226: t h C, skibbity, Rudey, garet - 204 (Loss)
  Match 3959203: SluffAndRuff, danp, Irony, tbiol - 189 (Win)
  Match 3972223: Toidi, TheYoungWolf, Prime, Phiip - 182 (Loss)
  Match 3966845: Roxas, heribo69, Sugar, Junoon - 179 (Win)
  Match 4025060: vic, Karasu, TheBob18, AdmaniaYT - 171 (Win)
  Match 4105286: CA$H., gspoon, Corbeh, Rexer - 167 (Loss)
  Match 3988385: helprefugees, aardvark, Misery, ALCAEUS - 166 (Win)
  Match 4004891: Vader, note, wallsquirrel, tears - 165 (Loss)
  Match 3971408: Ted, urkel, Boat, Ragnar - 164 (Win)
  Match 4027444: TheNerve, cantab, D Rek, Glimmer - 164 (Loss)


### LOWS

#### Tags
  Match 4059826: Dayman, Battletoad, Snekster, Israel Lives - 4 (Loss)
  Match 3944510: /~, Marijuana, Enervate, Jer32 - 5 (Loss)
  Match 4103451: UNlTY, rain, bubblez, Nevermind - 5 (Loss)
  Match 3934981: meowza, Forrtmanx2, JukeofFrance, So Cool - 5 (Loss)
  Match 3995480: @pro, umad, metalhead, Yo YoYo - 6 (Loss)
  Match 3995367: Bally Wilder, dewgazi, MrBeaver, MURF - 6 (Loss)
  Match 4123697: Batman., Witcher, Jed Bartlet, GtR - 6 (Loss)
  Match 3981830: CT Crunch, xcv, Sambal 1, Pickle Ball - 6 (Loss)
  Match 3955467: Chritt, Iodized Salt, praopraoprao, kutrebar - 6 (Loss)
  Match 3971253: Chritt, Cupid, xcv, Nilus - 6 (Loss)
  Match 4035642: Dayman, drewfa, havok, BUTT - 6 (Loss)
  Match 4045121: Eat Tofu, Jarek, metalhead, ludifisk - 6 (Loss)
  Match 3985603: Irony, skibbity, CRYCHIC - 6 (Loss)
  Match 3988212: LilB:BallGod, Damian, CBad, kolmogorov - 6 (Loss)
  Match 4019146: MURF, Old Cob, tbiol, Gvendolino - 6 (Loss)
  Match 4023286: Trapsin, Sir Cle Jerk, Wilma, oldAlt - 6 (Loss)
  Match 3934981: boogie, G.O.A.T., noefekts, Irony - 6 (Loss)
  Match 4116389: glizzy23, treyk47, Dayman, I'mBoutDat - 6 (Loss)
  Match 4134493: kmichael, hero-cat, BaII, jjpoole - 6 (Loss)
  Match 3946860: my fault, an, HELEN KELLER, lvy - 6 (Loss)
  Match 4010906: phyllis, Jarek, Princess*, Hugo Ball - 6 (Loss)
  Match 3952665: State Champ, Rabz, Schweddys, RoVo - 8 (Win)
  Match 3984915: Batman., Curry, xcv, laserpig - 9 (Win)
  Match 3938954: Witcher, waterlemon, Iodized Salt, Don Garyoni - 9 (Win)
  Match 4030781: tha king, aaron, Grommit, sun chips - 9 (Win)
  Match 3937886: KING KRULE, PBN, Doris, Daniel - 10 (Win)
  Match 4039383: fender, Dew1234, NameLEss, Bamboozler - 10 (Win)
  Match 4024749: meaL, TheWorst, AVP, fl33t - 10 (Win)

#### Returns
  Match 3985603: Irony, skibbity, CRYCHIC - 2 (Loss)
  Match 3944510: /~, Marijuana, Enervate, Jer32 - 3 (Loss)
  Match 3942309: Ball Coffey, Bidet->Wipe, dryfus, BO777 - 4 (Loss)
  Match 4059826: Dayman, Battletoad, Snekster, Israel Lives - 4 (Loss)
  Match 3941401: FlyingV, Celery, Glimmer, D Rek - 4 (Loss)
  Match 3937265: Israel Lives, Light, rizzmaster, bronny james - 4 (Loss)
  Match 4097971: PASSTHEFLAG, rina, fl33t, FL - 4 (Loss)
  Match 4128203: Tagger Woods, Flat Earth, BaullGoodman, Damian - 4 (Loss)
  Match 3934981: boogie, G.O.A.T., noefekts, Irony - 4 (Loss)
  Match 4134493: kmichael, hero-cat, BaII, jjpoole - 4 (Loss)
  Match 4010906: phyllis, Jarek, Princess*, Hugo Ball - 4 (Loss)
  Match 3952665: State Champ, Rabz, Schweddys, RoVo - 7 (Win)
  Match 3977530: G.O.A.T., CarrotCake, Deez Cashews, mc - 8 (Win)
